Tijdstempel,What programme are you in?,When is your birthday (date)?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,How many students do you estimate there are in the room?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4/1/2025 12:18:19,AI & Data Science,10/12/1999,yes,1,mu,ja,female,yes,500,65,4,168,23:00,sun,not encountering a stressful situation
4/1/2025 12:18:20,AI & Data Science,21/06/2001,yes,0,mu,ja,male,yes,250,200,5,42,23:00,Sex,Alcohol 
4/1/2025 12:18:20,"Business, Finance & Econometrics",28/02/2001,yes,1,mu,ja,male,yes,350,42,10,5347833,2300,Good food and no econometrics courses,"Sun, exercise and beer"
4/1/2025 12:18:20,Computer Science & Technology,28/06/2002,no,1,unknown,nee,male,yes,380,99999,10,7777,2 pm,weed,alcohol
4/1/2025 12:18:21,Computer Science & Technology,10/11/2000,yes,0,mu,ja,female,yes,5,60,4,8,23,Sunshine,Friends 
4/1/2025 12:18:21,AI & Data Science,08/03/1998,yes,0,mu,unknown,male,yes,350,15,6,42,23:00,Good weather,Chilling
4/1/2025 12:18:22,AI & Data Science,09/01/?,yes,1,mu,ja,female,yes,400,30,4,77,23:55,Sunny weather,Good food
4/1/2025 12:18:25,AI & Data Science,28/05/?,yes,unknown,mu,ja,female,yes,330,47,12,30,23:45,Good food,Sun
4/1/2025 12:18:25,AI & Data Science,26/10/2001,yes,0,mu,ja,female,yes,350,10,12,3,2am,sun,good food
4/1/2025 12:18:26,Computer Science & Technology,21/07/2002,yes,1,unknown,nee,male,yes,200,20,15,6,1:30am,delicious food,alcohol dose
4/1/2025 12:18:26,AI & Data Science,-,yes,1,sigma,ja,male,yes,250,20,3,42,0:30,no responsibilities,nice weather
4/1/2025 12:18:27,"Business, Finance & Econometrics",25/01/2003,yes,1,mu,ja,male,yes,385,6,7,10,00:00,Food,Sun
4/1/2025 12:18:28,AI & Data Science,13/02/?,yes,0,mu,nee,female,yes,390,37,4,197367,1am,Sun ,Good food
4/1/2025 12:18:28,"Business, Finance & Econometrics",15/02/2002,yes,0,mu,ja,male,yes,375,50,4,1,12,Travel,Active
4/1/2025 12:18:29,AI & Data Science,02/04/2005,yes,1,sigma,ja,male,yes,195,0,10,7,12:34,Not having looking for x ,Spots
4/1/2025 12:18:30,Computer Science & Technology,-,no,0,sigma,nee,gender fluid,yes,300,30,4,73,1,Sun,Sub
4/1/2025 12:18:31,Health & Life Sciences,21/03/2002,no,1,mu,nee,female,yes,234,40,7,8,23:30,Coffee,Running in the sun
4/1/2025 12:18:31,Computer Science & Technology,04/02/? ,yes,1,mu,ja,other,yes,330,Over 9000,0,37,5am,Got nothing to do,Interesting activities
4/1/2025 12:18:31,AI & Data Science,04/12/1998,yes,unknown,mu,nee,male,yes,480,75,3,7,1,Achivements,Socialising
4/1/2025 12:18:32,AI & Data Science,-,yes,unknown,mu,ja,male,yes,291,79,0,74,2 am,Being with someone i love,No assignment deadline!!!
4/1/2025 12:18:32,Computer Science & Technology,-,yes,1,sigma,ja,male,not willing to say,550,42.0,4,69,00:40,Eating burrata,Eating pasta
4/1/2025 12:18:33,AI & Data Science,26/10/2001,yes,0,mu,ja,female,yes,200,30,0,7,1:30,My boyfriend,My friends 
4/1/2025 12:18:33,Computer Science & Technology,10/10/?,yes,0,mu,ja,female,yes,500,100,3,3,12:45,Cats,Sun
4/1/2025 12:18:34,AI & Data Science,22/01/2002,yes,1,unknown,ja,intersex,not willing to say,420,100,8,40,11:35,-1,-2
4/1/2025 12:18:34,AI & Data Science,31/08/2001,no,0,sigma,nee,female,yes,200,10,8,11,1:00,Delicious food,Nice weather
4/1/2025 12:18:34,"Business, Finance & Econometrics",14/07/2003,yes,1,mu,ja,male,not willing to say,350,85,7,4,01:30,A beer after a exam,Seeing my dog
4/1/2025 12:18:35,AI & Data Science,02/01/2001 ,yes,1,unknown,ja,female,yes,289,40,6,9581995819194,23:25,Sun,Good exam result
4/1/2025 12:18:35,"Business, Finance & Econometrics",21/05/2025 (count as if no year given),yes,1,mu,ja,female,not willing to say,400,40,3,9,21:45,Sleeping in,No assignments
4/1/2025 12:18:36,AI & Data Science,05/01/?,yes,0,mu,ja,male,yes,350,25,20,40,23:00,feeling good ,productive
4/1/2025 12:18:36,AI & Data Science,30/09/2002,yes,0,mu,nee,male,yes,250,0,7,69,23:00,Sun,Sports
4/1/2025 12:18:36,AI & Data Science,-,yes,0,mu,nee,male,not willing to say,250,110,5,42,0:30,Doggo,Food
4/1/2025 12:18:37,AI & Data Science,07/08/1934,yes,unknown,mu,nee,not willing to answer,yes,70000,900,10,7,23:00,Good talks,Productivity
4/1/2025 12:18:37,AI & Data Science,22/08/1998,yes,1,mu,nee,male,yes,250,60,4,89867,23:30,Cats,Candy
4/1/2025 12:18:38,AI & Data Science,09/11/2001,yes,0,mu,nee,female,not willing to say,600,40,0,658,7pm,money,love
4/1/2025 12:18:39,AI & Data Science,26/07/2001,yes,0,mu,ja,male,yes,600,22,5,236,11:33 PM,eating good food,having a nice nap
4/1/2025 12:18:39,AI & Data Science,20/09/?,yes,1,unknown,ja,female,yes,150,20,4,11,12,Good sleep,No uni
4/1/2025 12:18:39,Computer Science & Technology,05/08/2000,yes,0,unknown,ja,not willing to answer,yes,300,13,6,1738,2,People,Food
4/1/2025 12:18:40,"Business, Finance & Econometrics",04/04/2004,yes,1,mu,ja,male,yes,425,5,3,4,23:00,Hanging out with friends,No responsibilities
4/1/2025 12:18:40,"Business, Finance & Econometrics",20/08/2004,yes,0,unknown,ja,male,yes,287,23,23,184365902143674301,22:40,Sports,Friends
4/1/2025 12:18:41,AI & Data Science,03/04/2000,yes,0,mu,ja,male,no,300,100,0,7,23:00,Not going to uni,No deadlines
4/1/2025 12:18:41,AI & Data Science,25/10/2002,no,0,sigma,ja,male,yes,300,30,7,9,00:30,Sports,Good sleep
4/1/2025 12:18:43,Computer Science & Technology,11/04/1999,no,0,sigma,nee,female,yes,220,67,4,4,4am,I take the ADHD medicine ,go out with friends 
4/1/2025 12:18:43,AI & Data Science,27/01/1991,no,0,mu,ja,male,yes,300,1,7,33,1:00,No assignments need to do,No lectures
4/1/2025 12:18:43,AI & Data Science,01/01/2000,yes,unknown,unknown,unknown,male,yes,500,69,10,69,Midnight,Sun,Friends
4/1/2025 12:18:43,Computer Science & Technology,?/09/?,yes,0,unknown,ja,male,no,483,π©,3,64,3AM,Sleep,Food
4/1/2025 12:18:43,AI & Data Science,?/11/1999,yes,1,mu,ja,male,yes,approx 300,75,4,"314,159,265,359",23:00,Passing EDDA,The sun
4/1/2025 12:18:44,AI & Data Science,25/12/?,yes,1,mu,nee,female,yes,450,60,1,44,23:30,Nice weather,Free time
4/1/2025 12:18:44,AI & Data Science,0000 ? (maybe 2000),no,0,mu,ja,male,yes,240,100,2,8,03:00,no studying,gaming
4/1/2025 12:18:45,Math,21/01/1997,yes,1,mu,ja,male,yes,357,7,5,69420,3am,You :),You again :)
4/1/2025 12:18:45,"Business, Finance & Econometrics",10/01/2000,yes,0,mu,ja,male,yes,500,40,2,1,01:23,Making someone smile,Smiling
4/1/2025 12:18:46,AI & Data Science,??? 26,no,0,mu,nee,male,yes,297,69,6,426,2300,"Mild weather, no lectures, good food","No assignments, no exam stress"
4/1/2025 12:18:46,AI & Data Science,07/23/2001,no,unknown,unknown,unknown,male,not willing to say,500,80,6,5,8,eating,play 
4/1/2025 12:18:46,AI & Data Science,Mid/02,yes,0,mu,nee,male,yes,300,20,8,891230124,01:30,Friends,Activity and food
4/1/2025 12:18:46,"Business, Finance & Econometrics",14/02/1999,yes,unknown,mu,ja,female,yes,480,0,8,10,23,Peace,Nature
4/1/2025 12:18:47,"Business, Finance & Econometrics",26/04/2001,yes,0,mu,nee,male,yes,350,20,8,124,23:30,Sports,Focus
4/1/2025 12:18:48,AI & Data Science,?/08/2000,no,0,mu,nee,male,yes,300,55,6,47,00:31,Motorcycle ride,Social interaction
4/1/2025 12:18:48,AI & Data Science,06/10/?,yes,1,sigma,ja,intersex,not willing to say,500,100,3,420,2am,Studying,Learning
4/1/2025 12:18:48,Computer Science & Technology,02/09/2003,yes,1,mu,ja,male,yes,366,57,6,9999999999,00:40,go out of the house ,play a sport and instrument 
4/1/2025 12:18:48,AI & Data Science,24/02/2002,no,1,mu,ja,male,yes,300,15,8,67,00:30,Doing a sport,Playing my bass guitar
4/1/2025 12:18:48,AI & Data Science,23/07/2001,yes,0,mu,nee,male,yes,300,45,4,23,2,beer,another beer
4/1/2025 12:18:49,AI & Data Science,-,yes,0,unknown,ja,male,yes,123,90,4,Ø,3:54,grounded,"social, speding quality time with friends"
4/1/2025 12:18:49,Computer Science & Technology,31/01/1999,yes,1,unknown,ja,male,yes,300ish?,75,3,81,3 AM x),Chilling with buddies,GAMING
4/1/2025 12:18:49,Computer Science & Technology,12-12-1921 (nahh),no,1,mu,ja,male,yes,450,101,168,3737,1,Money,Less money
4/1/2025 12:18:50,AI & Data Science,05/12/?,yes,1,mu,ja,male,yes,125,101,4.5,245819732157863251872726618812736168172715169485342146436918753,23:00,good food,finish task
4/1/2025 12:18:50,AI & Data Science,23/02/?,no,0,mu,ja,male,yes,200,65,3,4,02:00,Coffee,Motivation 
4/1/2025 12:18:50,AI & Data Science,-,yes,0,sigma,ja,male,yes,378,-10,2h,cleanMe12,4am,gezelligheid,see above
4/1/2025 12:18:51,AI & Data Science,20/09/2002,yes,1,mu,ja,female,not willing to say,Around 200,30,5,13,11:30pm,Productivity,Nice weather
4/1/2025 12:18:52,AI & Data Science,03/10/2001,yes,unknown,mu,nee,female,yes,400,40,10,3,12,workout,sun
4/1/2025 12:18:52,Computer Science & Technology,09/10/2000,yes,1,sigma,ja,male,not willing to say,390,101,3,7,5am,A day outside,Jamming with the homies
4/1/2025 12:18:52,AI & Data Science,11/01/2001,yes,1,mu,nee,male,yes,500,25,5,27,23:30,Waking up refreshed,exercise
4/1/2025 12:18:52,AI & Data Science,11/6/?,yes,0,unknown,nee,male,yes,300,99,7,77,1:30,no class,nice weather
4/1/2025 12:18:53,AI & Data Science,24/11/?,no,0,sigma,nee,male,yes,280,40,6,18282,22:00,Nice weather,Nice girls
4/1/2025 12:18:54,AI & Data Science,16/11/2001,yes,0,mu,nee,female,not willing to say,450,80,3,17,00:30,sleeping,going for a walk
4/1/2025 12:18:54,Computer Science & Technology,16/02/1999,yes,1,sigma,ja,male,no,150,0,8,75,5:00am,Fun,Fun 2
4/1/2025 12:18:54,Health & Life Sciences,13/01/?,no,unknown,sigma,ja,male,yes,230,69,15,"46,789,901,874,822,500",22:00,Reaching my calory goal,Sleeping 8 hours
4/1/2025 12:18:54,"Business, Finance & Econometrics",28/06/2002,yes,0,mu,ja,female,yes,250,50,0😭😭😭,3,12:30,feeling productive,socializing 
4/1/2025 12:18:55,AI & Data Science,20/01/?,yes,0,unknown,ja,male,not willing to say,118,24,6,31,12.30,Low stress,Progress
4/1/2025 12:18:55,AI & Data Science,29/04/2002,no,1,sigma,ja,female,yes,375,30,6,3,23:30,Sun,-
4/1/2025 12:18:55,Computer Science & Technology,02/01/2003,yes,1,sigma,ja,female,yes,Idk,40,10,13,23:30,Stick to my daily routine,Connect with some good person
4/1/2025 12:18:56,"Business, Finance & Econometrics",15/04/?,yes,0,mu,ja,not willing to answer,no,460,30,zero,achtduizendvierhonderdvijfendertig komma zesenvijftig,around midnight,no lectures,sleeping
4/1/2025 12:18:56,Computer Science & Technology,-,yes,1,mu,ja,female,yes,200,30,5,173425111379664,22:30,Running in the morning,Meeting new people
4/1/2025 12:18:56,"Business, Finance & Econometrics",23/01/2001,yes,1,mu,ja,male,yes,300,0,4,271828,23u30,Good sleep,Free time
4/1/2025 12:18:56,AI & Data Science,13/05/2000,yes,0,mu,ja,male,yes,400,10,10,21,00:30,Sun and good food,Good food and sun
4/1/2025 12:18:58,Computer Science & Technology,09/04/?,no,0,unknown,ja,female,yes,250,65,2,9,1.22am,With friends I love,Sunny days
4/1/2025 12:18:58,AI & Data Science,?/12/?,yes,0,mu,nee,female,yes,340,40,9,1672,01:00,Friends,Drinks
4/1/2025 12:18:58,AI & Data Science,10/07/?,yes,0,mu,nee,female,yes,400,35,6,823,1am,Sunshine,Nice food
4/1/2025 12:18:59,AI & Data Science,03/01/2001,yes,0,mu,ja,female,no,250,100,4,11,23.30,Sun Shining,Drinking Matcha in the Sun
4/1/2025 12:18:59,AI & Data Science,03/04/?,yes,0,mu,nee,female,yes,100,20,5,51,0:00,sunshine,no exam
4/1/2025 12:19:00,Computer Science & Technology,07/02/1997,no,1,sigma,ja,male,yes,450,40,10,8473,00:00,The sun,Sports
4/1/2025 12:19:00,AI & Data Science,?/12/?,yes,0,mu,ja,female,yes,350,87,1,27.4,2 am,getting some work done,time to make music
4/1/2025 12:19:00,"Business, Finance & Econometrics",20/07/2002,yes,1,mu,ja,female,yes,450,10,3-4,22,23:00,Sun,friends
4/1/2025 12:19:01,AI & Data Science,01/09/?,yes,0,mu,ja,female,yes,450,25,2,55678686,02:00,Sunshine,Food
4/1/2025 12:19:01,"Business, Finance & Econometrics",03/01/2000,yes,1,mu,ja,female,yes,400,60,7,25,23:00,being able to exercise,get outside
4/1/2025 12:19:01,AI & Data Science,05/03/2001,yes,1,mu,ja,male,yes,400,40,16,90,22:30,Performing some sports,Positive people around me 
4/1/2025 12:19:02,"Business, Finance & Econometrics",11/09/2002,yes,unknown,sigma,ja,male,yes,380,40,12,858282281825663728188,22:30,When the sun is out,What makes a good day for you (2)? 
4/1/2025 12:19:02,AI & Data Science,27/12/?,yes,0,mu,ja,female,yes,550,20,3,77,1 am,Good Breakfast,Sunshine
4/1/2025 12:19:03,AI & Data Science,18/11/2000,yes,1,unknown,ja,male,yes,384,-10000,14,9,12,productivity,music
4/1/2025 12:19:04,Computer Science & Technology,-,no,unknown,mu,ja,male,yes,450,30,6,76,3:00 ,Videogames all day,Good food for free
4/1/2025 12:19:04,"Business, Finance & Econometrics",17/08/2001,yes,unknown,mu,nee,male,yes,250,58,3,5,01:30,Not a lot of assignments,Sports and guitar
4/1/2025 12:19:05,"Business, Finance & Econometrics",13/12/2003,yes,1,mu,nee,male,not willing to say,250,23.23,7,00,00:30,productivity,nice food
4/1/2025 12:19:05,"Business, Finance & Econometrics",15/08/2000,yes,0,mu,nee,male,not willing to say,400,60,10,158,3am,Sports,Food
4/1/2025 12:19:05,Master ???,06/09/1969,yes,0,mu,nee,gender fluid,no,9000,100,200,Random,5,Brazzers,BangBros
4/1/2025 12:19:06,"Business, Finance & Econometrics",04/10/2003,yes,1,sigma,ja,male,yes,311,11,4,10107472946391947974729472910472918462917472927492746291047272947263902716549294746829294739194737292847292748202747204726294,1,Potato,Fries
4/1/2025 12:19:06,AI & Data Science,18/01/2002,yes,1,mu,ja,male,yes,300,15,20,78,23:30,-,-
4/1/2025 12:19:06,Computer Science & Technology,18/02/2001,yes,0,mu,ja,male,yes,150,30,7,“-69420”,3:00,“rm -r .”,Bouldering and hanging with the homies
4/1/2025 12:19:07,AI & Data Science,25/06/2003,yes,1,mu,ja,female,yes,450,50,8,7,23:00,Good food ,Nobody dies 
4/1/2025 12:19:07,AI & Data Science,25/08/2000,yes,0,mu,nee,female,not willing to say,150,98,0,23,4,no course,鲜锅兔
4/1/2025 12:19:08,AI & Data Science,23/12/2000,yes,1,mu,ja,male,not willing to say,400,10,8,9,01:00,Nice weather,Free time
4/1/2025 12:19:09,Computer Science & Technology,30/01/2000,yes,1,unknown,ja,male,not willing to say,300,-1,12,4,1,Good food,Good weather
4/1/2025 12:19:10,AI & Data Science,20/01/2002,yes,0,mu,nee,female,yes,350,30,2,9,22:30,Food,More food
4/1/2025 12:19:10,AI & Data Science,???? 23,yes,1,mu,ja,female,yes,380,23,3,39587,12:30,Good food,Talking to friends
4/1/2025 12:19:10,AI & Data Science,01/01/1998,yes,1,mu,ja,male,not willing to say,500,70,2,7,23:00,Good food,Good sleep
4/1/2025 12:19:11,AI & Data Science,08/12/2001,yes,0,mu,nee,male,yes,240,65,4,35,2 am,Cola,Gaming
4/1/2025 12:19:12,AI & Data Science,05/09/?,no,0,mu,nee,male,not willing to say,400,40,3,60000000,2am,Productivity,Friends
4/1/2025 12:19:12,"Business, Finance & Econometrics",?/07/2003 ,yes,1,sigma,ja,male,not willing to say,220,Now? 22,9,18,02:00,Sun,Sun
4/1/2025 12:19:14,AI & Data Science,11/08/2002,yes,1,mu,ja,female,yes,253,55,4,21,1:03 ,Sun ,Laughter 
4/1/2025 12:19:14,"Business, Finance & Econometrics",29/09/?,yes,1,mu,ja,male,yes,300,25,11,3891736819378483829191037,23:30,Personal record in the gym,Good food
4/1/2025 12:19:14,AI & Data Science,05/05/2002,yes,0,mu,unknown,female,yes,280,20,7,93,00:10,That I feel content and happy,Doing something 
4/1/2025 12:19:16,Computer Science & Technology,04/10/2001,no,1,sigma,nee,male,yes,230,8,6,88,1:37,Good food,Girlfriend
4/1/2025 12:19:17,"Business, Finance & Econometrics",????? 28,yes,1,mu,ja,not willing to answer,yes,450,40,4.6,576434680087,22:00,Cooking,Sun
